0 7 14
4 7 13
4 5 11
0 10 21
2 10 25
4 6 27
9 11 14
11 12 16
9 15 29
9 16 31
15 18 38
3 8 44
7 0 14
7 4 13
5 4 11
10 0 21
10 2 25
6 4 27
11 9 14
12 11 16
15 9 29
16 9 31
18 15 38
8 3 44
1 15 47
15 1 47
0 4 18
4 0 18
1 9 42
9 1 42
1 20 11
20 1 11
7 20 10
20 7 10
3 21 11
21 3 11
8 22 33
22 8 33
19 22 14
22 19 14
17 23 6
23 17 6
21 23 21
23 21 21
10 24 7
24 10 7
2 25 11
25 2 11
10 26 11
26 10 11
14 26 35
26 14 35
6 27 11
27 6 11
13 27 22
27 13 22
1 28 10
28 1 10
5 29 26
29 5 26
13 29 6
29 13 6
2 30 31
30 2 31
17 30 14
30 17 14
24 31 13
31 24 13
28 31 13
31 28 13
17 32 14
32 17 14
1 33 8
33 1 8
11 33 26
33 11 26
5 34 11
34 5 11
18 34 47
34 18 47
14 35 9
35 14 9
3 36 8
36 3 8
25 36 26
36 25 26
32 37 22
37 32 22
35 37 10
37 35 10
3 38 31
38 3 31
6 38 13
38 6 13
0 39 6
39 0 6
2 39 23
39 2 23
